property_id,title,city,area,bedrooms,bathrooms,property_type,price,booking_duration,tag_property_type
PR0774,Retreat to Nature Jungle House Villa near Canggu,Bali,Canggu,2,2,"Jungle View, Residential, Villa",2206368.0,1,3
PR0774,Luxurious Private Villa with Pool in Idyllic Pecatu Retreat,Bali,Ungasan,2,2,Villa,1198180.4000000001,30,1
PR0776,Villa by Rice Fields in Canggu,Bali,Canggu,2,2,"Rice paddy view, Villa",1123613.3333333333,30,2
PR0715,Secluded 2BR Villa w/ Pool @ Complex in Nusa Dua,Bali,Nusa Dua,2,2,View,1103184.0,30,1
PR0695,Modern Breezy Homey 2BR Villa with Pool near GWK,Bali,Ungasan,2,3,Villa,1225760.0,30,1
PR0678,Dainty Villa w/ Restful Pool for Group at Ungasan,Bali,Ungasan,3,3,Villa,1047003.3333333333,30,1
PR0719,Spacious New Tropical Villa w/ GWK View,Bali,badung,3,3,"View, Villa",1634346.6666666667,30,2
PR0719,Da Kelor,Bali,Ubud,2,2,"Guest House, Residential, Rice paddy view",422.57936073059363,5475,3
PR0720,Tasteful Villa w/ Nice View of Rice Field in Jogja,Yogyakarta,Yogyakarta,3,3,"Rice paddy view, Villa",1201000.0,1,2
PR0051,Town House in a Quiet Residence near Ambarrukmo,Yogyakarta,Yogyakarta,3,2,Villa,1020000.0,1,1
PR0294,Clean Room in Jogja Local Authentic Holiday House,Yogyakarta,Yogyakarta,3,2,Guest House,410500.0,1,1
PR0708,Spacious 5BR Vacation Villa for Big Group in Jogja,Yogyakarta,Yogyakarta,5,4,Villa,2160000.0,1,1
PR0293,Spacious Guest House for Group Vacations @ Jogja,Yogyakarta,Yogyakarta,6,5,Guest House,3315000.0,1,1
PR0704,3BR Javanese Traditional Relaxing Villa with Pool,Yogyakarta,Yogyakarta,3,3,Villa,1930000.0,1,1
PR0755,Jogja Historical Home in Keraton Heritage Area,Yogyakarta,Yogyakarta,3,2,Villa,1735000.0,1,1
PR0755,Jogja Strategic Getaway House for Group/Family,Yogyakarta,Yogyakarta,3,2,Villa,1445000.0,1,1
PR0755,Casa Silvino,Bali,Ungasan,2,2,"Residential, Villa",685711.9726027397,365,2
PR0731,Prestigious Apartment w/ Mt. Merapi View,Yogyakarta,Yogyakarta,2,2,"Residential, Villa",810000.0,1,2
PR0419,Breathtaking Ocean View Cabin w/ Wi-Fi & Breakfast,Nusa Penida,Nusa Penida,2,2,"Guest House, Residential",199186.0,1,2
PR0603,Stylish Rustic Cabin in Penida near Seaside Cafe,Nusa Penida,Nusa Penida,2,2,"Guest House, Residential",367728.0,1,2
PR0427,Beachfront Bungalow w/ Sunset View,Nusa Penida,Nusa Penida,2,2,"Beachfront, Guest House, Residential",628202.0,1,3
PR0766,Restful Villa in Jogja City – 10 mins from Tugu,Yogyakarta,Yogyakarta,6,2,Villa,2740000.0,1,1
PR0630,Soothing Sound of the Waves in a Beachfront Cabin,Nusa Penida,Nusa Penida,6,2,"Beachfront, Guest House, Residential",352406.0,1,3
PR0370,Rare Luxurious Artistic Home w/ Private Pool,Yogyakarta,Yogyakarta,4,3,Villa,3270000.0,1,1
PR0366,Penida Cabin for Diving & Snorkeling Enthusiasts,Nusa Penida,Nusa Penida,4,3,"Guest House, Residential",275796.0,1,2
PR0371,Once in a Lifetime Hilltop Bungalow Experience,Nusa Penida,Nusa Penida,4,3,"Guest House, Residential",291118.0,1,2
PR0447,3 Deluxe Room in Nusa Penida – Right on the Beach,Nusa Penida,Nusa Penida,3,3,"Guest House, Residential",750778.0,1,2
PR0383,Magical Balinese Cabin in Nusa Penida w/ Sea View,Nusa Penida,Nusa Penida,2,2,"Guest House, Residential",459660.0,1,2
PR0345,Serene Wooden Cabin Near Banjar Nyuh Harbour,Nusa Penida,Nusa Penida,2,2,Guest House,291118.0,1,1
PR0340,Tranquil Homestay with Serene Garden in West Jogja,Yogyakarta,Yogyakarta,2,2,Guest House,490000.0,1,1
PR0758,Spacious Artist’s House w/ Many Creative Touches,Yogyakarta,Yogyakarta,3,2,Homestay,1231000.0,1,1
PR0707,"Serene Javanese Home near Pakualaman Palace, Jogja",Yogyakarta,Yogyakarta,4,2,Guest House,2175000.0,1,1
PR0387,Vintage Jogja Villa with Waterfall View!,Yogyakarta,Yogyakarta,2,2,"View, Villa",1231000.0,1,2
PR0759,Mesmerizing 2BR Kokomo Villa in Umalas with Pool,Bali,Canggu,2,2,"Ocean view, Rice paddy view",2425983.3333333335,30,2
PR0120,Minimalist Room with Superb Ocean View at Bingin,Bali,Bingin,2,2,"Beachfront, Guest House",541377.3333333334,30,2
PR0057,Bright & Sunny Guesthouse with Green Lawn and Pool,Bali,Bingin,2,2,Guest House,469874.6666666667,30,1
PR0126,Remote Worker Heaven in Canggu with 200Mbps Wi-Fi,Bali,Canggu,2,2,Guest House,403479.3333333333,30,1
PR0694,Summer Vibe Stay in Bingin with Pool + Fast WIFI,Bali,Bingin,2,2,Guest House,556699.3333333334,30,1
PR0475,Laid-back in Uluwatu Bungalow w/ Pool & Fast Wifi,Bali,Uluwatu,2,2,Guest House,403479.3333333333,30,1
PR0475,Ubud Summer House on the Edge of the Wilderness,Bali,Ubud,3,3,"Jungle View, Villa",1011252.0,30,2
PR0373,Soothing Ubud Villa w/ Wide Appeasing Garden,Bali,Ubud,4,4,"Rice paddy view, Villa",2523022.6666666665,30,2
PR0088,Bohemian Beachfront Surf Villa by the Bingin Beach,Bali,Bingin,4,3,"Beachfront, Residential, Villa",2854999.3333333335,30,3
PR0763,Secluded Couple Getaway Villa – 7 mins from Beach,Bali,badung,4,3,"Residential, Villa",658846.0,30,2
PR0242,Stunning Ocean View Nusa Dua Villa + Infinity pool,Bali,Nusa Dua,3,4,"Ocean view, Residential, Villa",6721250.666666667,30,3
PR0241,Rare & Exclusive Villa in Canggu w/ Private Pool,Bali,Canggu,3,4,"Residential, Villa",909105.3333333334,30,2
PR0697,Bukit Vista | Heritage Joglo Villa w/ Private Pool,Yogyakarta,Yogyakarta,4,3,"Residential, Style, Villa",1532200.0,1,3
PR0616,Glamorous Residential in a Luxurious Complex Jogja,Yogyakarta,Yogyakarta,3,3,"Residential, Style, Villa",2280000.0,1,3
PR0678,Dainty Villa w/ Restful Pool for Group at Ungasan,Bali,Ungasan,3,3,"Residential, Villa",1006144.6666666667,30,2
PR0397,Amazing Villa with Pool and Scenic Rice Field View,Bali,Ubud,3,3,"Rice paddy view, Villa",612880.0,1,2
PR0245,Monthly Stay at Cool Uluwatu Surf Neighbourhood,Bali,Uluwatu,3,3,Guest House,306440.0,30,1
PR0529,Bukit Vista | Stunning 3BR Villa Near Padang Beach,Bali,Uluwatu,3,3,Villa,2349373.3333333335,30,1
PR0370,Rare Luxurious Artistic Home w/ Private Pool,Yogyakarta,Yogyakarta,4,3,"Residential, Villa",2512808.0,30,2
PR0355,Attractive Aesthetic Home near Lempuyangan Station,Yogyakarta,Yogyakarta,3,2,"Guest House, Residential, Style",704812.0,30,3
PR0387,Vintage Jogja Villa with Waterfall View!,Yogyakarta,Yogyakarta,2,2,"View, Villa",909105.3333333334,30,2
PR0092,Quaint & Homey Balinese Villa w/ Private Pool,Bali,Jimbaran,2,2,"Residential, Villa",909105.3333333334,30,2
PR0417,Tranquil 3BR Villa in Jimbaran with Wi-Fi + Pool,Bali,Jimbaran,3,3,"Residential, Villa",1312584.6666666667,30,2
PR0637,Secret Aesthetic Chamber at Canggu with Fast Wifi,Bali,Canggu,3,3,"Style, Villa",505626.0,30,2
PR0494,Peaceful Uluwatu Cabin w/ Unspoiled Beaches Nearby,Bali,Uluwatu,3,3,Guest House,403479.3333333333,30,1
PR0424,Lovely Private Pool Villa in Strategic Location,Bali,Canggu,3,3,Villa,403479.3333333333,30,1
39783539,Serene Cabin with Gym & Fast Wifi in Uluwatu,Bali,Uluwatu,3,3,"Guest House, Jungle View",372835.3333333333,30,2
PR0513,Authentic Balinese Cabin near Beach | sterilized,Bali,Uluwatu,3,3,Villa,403479.3333333333,30,1
47126532,Breezy Atmosphere Villa in Ungasan by Bukit Vista,Bali,Ungasan,4,4,Villa,1511770.6666666667,30,1
24721612,Breathtaking Cabin Right on the Bingin Beach,Bali,Bingin,4,4,"Beachfront, Guest House, View",806958.6666666666,30,3
40972399,Breathtaking Bingin Ocean View Room for Surfer,Bali,Bingin,4,2,"Beachfront, Guest House, Ocean view",806958.6666666666,30,3
33859326,Antique Wooden House in Canggu by Bukit Vista #2,Bali,Canggu,4,2,Guest House,623094.6666666666,30,1
PR0575,Bukit Vista | Strategic GH in Canggu w/ Pool,Bali,Canggu,2,2,Guest House,454552.6666666667,30,1
24107708,Tranquil Comfy Chamber 5-Min to Canggu Beach,Bali,Canggu,2,2,Guest House,454552.6666666667,30,1
PR0354,Family Holiday House w/ Private Pool in Jimbaran,Bali,Jimbaran,5,5,Villa,1710956.6666666667,30,1
42769205,Ecstatic Villa in Ubud w/ Greenery Garden View,Bali,Ubud,5,5,"Jungle View, Villa",352406.0,30,2
34100635,Dashing Vast Villa Centrally Located at Ungasan,Bali,Ungasan,5,5,Villa,1680312.6666666667,30,1
41848814,Guesthouse for Digital Nomad In Heart of Canggu,Bali,Canggu,5,5,Guest House,418801.3333333333,30,1
PR0198,Blissful Holiday Room in the Heart of Canggu,Bali,Canggu,5,5,"Guest House, Residential",352406.0,30,2
PR0198,Enchanting Hillside Cabin w/ Pool @ Uluwatu Temple,Bali,Uluwatu,5,5,"Guest House, Island life",704812.0,30,2
35138761,Sweet Beachfront Sunset View Bungalow in Penida by Bukit Vista,Nusa Penida,Nusa Penida,5,5,"Beachfront, View",505626.0,30,2
PR0528,4BR Homey Villa in Uluwatu | Kitchen + Wifi + Pool by Bukit Vista,Bali,Uluwatu,4,4,Villa,2517915.3333333335,30,1
31152138,Bukit Vista | Santorini Surfer Loft in Uluwatu,Bali,Uluwatu,4,4,"Guest House, Style",709919.3333333334,30,2
36539552,Picturesque Cottage in the Heart of Ubud’s Nature,Bali,Ubud,4,4,"Jungle View, Villa",454552.6666666667,30,2
